Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
Hai Phong,2022-01-01,3,21.1,12.6,20.5,12.4,2022-01-01T06:30,2022-01-01T17:23,39206.66,13284.42,,,0.0,0.0,0.0,0.0,0.0,,13.9,26.3,51,8.34,1.86
Hai Phong,2022-01-02,3,23.1,13.2,24.4,12.5,2022-01-02T06:30,2022-01-02T17:24,39224.5,34425.02,,,0.0,0.0,0.0,0.0,0.0,,13.4,26.6,77,14.14,2.63
Hai Phong,2022-01-03,3,22.0,13.0,22.4,13.0,2022-01-03T06:30,2022-01-03T17:24,39243.89,19038.34,,,0.0,0.0,0.0,0.0,0.0,,10.4,22.3,69,9.36,1.83
Hai Phong,2022-01-04,51,23.6,14.1,24.6,14.0,2022-01-04T06:30,2022-01-04T17:25,39265.04,24465.04,,,0.4,0.4,0.0,0.0,4.0,,14.1,27.7,93,9.73,1.87
Hai Phong,2022-01-05,51,23.3,16.5,25.1,17.8,2022-01-05T06:31,2022-01-05T17:25,39288.02,16476.04,,,1.1,1.1,0.0,0.0,5.0,,8.7,19.4,106,8.32,1.64
Hai Phong,2022-01-06,51,24.3,16.5,25.8,17.5,2022-01-06T06:31,2022-01-06T17:26,39312.75,21797.81,,,1.0,1.0,0.0,0.0,4.0,,14.0,27.0,91,10.86,2.13
Hai Phong,2022-01-07,3,23.2,17.7,22.7,17.4,2022-01-07T06:31,2022-01-07T17:27,39339.18,36000.0,,,0.0,0.0,0.0,0.0,0.0,,22.0,42.8,90,14.58,2.87
Hai Phong,2022-01-08,51,23.1,17.3,22.8,16.5,2022-01-08T06:31,2022-01-08T17:27,39367.27,36000.0,,,0.1,0.1,0.0,0.0,1.0,,20.5,41.0,89,13.07,2.78
Hai Phong,2022-01-09,51,18.6,16.0,18.6,15.7,2022-01-09T06:31,2022-01-09T17:28,39396.94,568.06,,,0.5,0.5,0.0,0.0,3.0,,9.8,20.5,29,5.08,1.27
Hai Phong,2022-01-10,51,21.4,15.5,23.2,14.1,2022-01-10T06:32,2022-01-10T17:29,39428.14,0.0,,,1.1,1.1,0.0,0.0,6.0,,13.7,24.5,29,6.15,1.36
Hai Phong,2022-01-11,53,19.1,13.1,18.5,12.2,2022-01-11T06:32,2022-01-11T17:29,39460.84,26940.75,,,1.0,1.0,0.0,0.0,4.0,,10.4,22.3,36,10.49,2.08
