Country,State/Province,Latitude,Longitude
Vietnam,Nam Dinh,20.2686476,106.2289075
Vietnam,Nghe An,19.1976001,105.060676
Vietnam,Ninh Binh,20.2421142,105.9746207
Vietnam,Ninh Thuan,11.6965639,108.8928476
Vietnam,Phu Tho,21.4000047,105.2238899
Vietnam,Phu Yen,13.1912633,109.1273678
Vietnam,Quang Binh,17.509599,106.4004452
Vietnam,Quang Nam,15.5761698,108.0527132
Vietnam,Quang Ngai,15.1209627,108.7813826
Vietnam,Quang Ninh,21.1718046,107.2012742
Vietnam,Quang Tri,16.7897806,106.9797431
Vietnam,Soc Trang,9.5628369,105.9493991
