Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
An Giang,2021-01-01,51,27.1,21.4,27.7,20.7,2021-01-01T06:17,2021-01-01T17:48,41478.51,36507.71,,,0.2,0.2,0.0,0.0,1.0,,19.5,38.9,10,17.53,4.83
An Giang,2021-01-02,3,27.2,22.0,28.2,21.5,2021-01-02T06:17,2021-01-02T17:48,41487.39,26238.09,,,0.0,0.0,0.0,0.0,0.0,,16.8,36.0,3,12.27,3.73
An Giang,2021-01-03,3,28.5,22.1,31.9,23.0,2021-01-03T06:17,2021-01-03T17:49,41496.98,29176.39,,,0.0,0.0,0.0,0.0,0.0,,12.6,27.0,11,12.99,3.15
An Giang,2021-01-04,51,31.2,22.2,36.3,24.1,2021-01-04T06:18,2021-01-04T17:49,41507.27,36296.75,,,0.6,0.6,0.0,0.0,3.0,,12.3,33.1,23,19.6,4.31
An Giang,2021-01-05,53,29.5,23.5,33.3,27.6,2021-01-05T06:18,2021-01-05T17:50,41518.25,32387.25,,,1.6,1.6,0.0,0.0,10.0,,12.2,44.6,60,11.6,2.63
An Giang,2021-01-06,3,30.5,22.6,35.6,27.1,2021-01-06T06:18,2021-01-06T17:51,41529.92,35656.26,,,0.0,0.0,0.0,0.0,0.0,,10.2,32.4,87,15.97,3.44
An Giang,2021-01-07,53,31.1,23.8,35.2,27.7,2021-01-07T06:19,2021-01-07T17:51,41542.25,37157.66,,,1.5,1.5,0.0,0.0,4.0,,11.7,27.4,69,17.35,3.77
An Giang,2021-01-08,3,31.0,22.1,35.9,26.0,2021-01-08T06:19,2021-01-08T17:52,41555.24,36210.39,,,0.0,0.0,0.0,0.0,0.0,,10.1,23.0,76,19.43,4.06
An Giang,2021-01-09,3,30.2,22.6,32.9,23.5,2021-01-09T06:19,2021-01-09T17:52,41569.03,37922.27,,,0.0,0.0,0.0,0.0,0.0,,16.4,34.2,22,17.54,4.19
An Giang,2021-01-10,3,29.6,21.3,32.7,22.2,2021-01-10T06:20,2021-01-10T17:53,41583.66,37912.03,,,0.0,0.0,0.0,0.0,0.0,,11.7,25.9,21,20.25,4.28
